Product Name,Venue,Electronic,Open Outcry,Clearing,Exchange or
Daily WTI Calendar Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,DCL ,DCL ,NYMEX
Dated Brent (Platts) Calendar Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,UB ,UB ,NYMEX
Dated Brent (Platts) Daily Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,7G ,7G ,NYMEX
Dated to Frontline Brent Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,FY ,FY ,NYMEX
Dawn Natural Gas Basis Swap (Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,DW ,DW ,NYMEX
Dawn Natural Gas Index Swap (Platts Gas Daily/Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,IO ,IO ,NYMEX
Dawn Natural Gas Swing Swap (Platts Gas Daily) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,OW ,OW ,NYMEX
Demarc Natural Gas index Swap (Platts Gas Daily/Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,DI ,DI ,NYMEX
Demarc Natural Gas Swing Swap (Platts Gas Daily) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,DT ,DT ,NYMEX
Diesel 10ppm (Platts) Barges FOB Rdam BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,U7 ,U7 ,NYMEX
Diesel 10ppm (Platts) Barges FOB Rdam vs. ICE Gasoil BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,7X ,7X ,NYMEX
Diesel 10ppm NWE Le Havre (Platts) CIF NWE Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,S1 ,S1 ,NYMEX
Diesel 10ppm NWE Le Havre (Platts) CIF NWE vs. ICE Gasoil Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,S3 ,S3 ,NYMEX
Diesel 10ppm NWE Le Havre (Platts) CIF NWE vs. ICE Gasoil BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,S5 ,S5 ,NYMEX
Diesel 10ppm UK (Platts) CIF NWE Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,S6 ,S6 ,NYMEX
Diesel 10ppm UK (Platts) CIF NWE vs. ICE Gasoil Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,S8 ,S8 ,NYMEX
Diesel 10ppm UK (Platts) CIF NWE vs. ICE Gasoil BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,T1 ,T1 ,NYMEX
"Dominion, South Point Natural Gas Swing Swap (Platts Gas Daily) Futures ","CME ClearPort, Open Outcry (New York) ",  ,SH ,SH ,NYMEX
Dominion Basis Swap (Platts IFERC) Futures) ,"CME ClearPort, Open Outcry (New York) ",  ,PG ,PG ,NYMEX
Dominion Natural Gas Index Swap (Platt Gas Daily/Platts IFERC) Futures ,"CME ClearPort Clearing, New York Trading Floor ",  ,IH ,IH ,NYMEX
Dow Jones Mid-Columbia Electricity Price Index Swap Futures ,"CME ClearPort Clearing, New York Trading Floor ",  ,DO ,DO ,NYMEX
Dubai Crude Oil (Platts) Calendar Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,DC ,DC ,NYMEX
Dubai Crude Oil (Platts) BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,BI ,BI ,NYMEX
East-West Fuel Oil Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,EW ,EW ,NYMEX
E-mini RBOB Gasoline Futures ,CME Globex ,  ,QU ,QU ,NYMEX
CSX Coal (Platts OTC Broker Index) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,QX ,QX ,NYMEX
East-West Fuel Oil Spread (Platts) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,EW ,EW ,NYMEX
EIA Flat Tax On-Highway Diesel Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,A5 ,A5 ,NYMEX
Permian Basis Swap (Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,PM ,PM ,NYMEX
Permian Natural Gas Index (Platts Gas Daily/Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,IL ,IL ,NYMEX
El Paso/Permian Swing Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,SL ,SL ,NYMEX
ERCOT Broker Houston Index Peak (SNL Energy) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,ZH ,ZH ,NYMEX
ERCOT Broker North Index Peak (SNL Energy) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,ZF ,ZF ,NYMEX
ERCOT Broker South Index Peak (SNL Energy) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,ZT ,ZT ,NYMEX
ERCOT Houston Calendar-Day Peak Swap (Platts Megawatt Daily) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,HE ,HE ,NYMEX
ERCOT Houston Peak Swap (Platts Megawatt Daily) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,HT ,HT ,NYMEX
ERCOT Houston Zone MCPE 5 MW Off-Peak Calendar-Day Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,I4 ,I4 ,NYMEX
ERCOT Houston Zone MCPE 5 MW Off-Peak Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,I2 ,I2 ,NYMEX
ERCOT Houston Zone MCPE 5 MW Peak Calendar-Day Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,I3 ,I3 ,NYMEX
ERCOT Houston Zone MCPE 5 MW Peak Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,I1 ,I1 ,NYMEX
ERCOT Houston Zone MCPE 50 MW Off-Peak Calendar Day Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,3E ,3E ,NYMEX
ERCOT Houston Zone MCPE 50 MW Off-Peak Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,2W ,2W ,NYMEX
ERCOT Houston Zone MCPE 50 MW Peak Calendar Day Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,2S ,2S ,NYMEX
ERCOT Houston Zone MCPE 50 MW Peak Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,2N ,2N ,NYMEX
ERCOT North Calendar-Day Peak Swap (Platts Megawatt Daily) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,MC ,MC ,NYMEX
ERCOT North Peak Swap (Platts Megawatt Daily) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,MT ,MT ,NYMEX
ERCOT North Zone MCPE 5 MW Off-Peak Calendar-Day Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,I8 ,I8 ,NYMEX
ERCOT North Zone MCPE 5 MW Off-Peak Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,I6 ,I6 ,NYMEX
ERCOT North Zone MCPE 5 MW Peak Calendar-Day Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,I7 ,I7 ,NYMEX
ERCOT North Zone MCPE 5 MW Peak Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,I5 ,I5 ,NYMEX
ERCOT North Zone MCPE 50 MW Off-Peak Calendar Day Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,3F ,3F ,NYMEX
ERCOT North Zone MCPE 50 MW Off-Peak Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,2X ,2X ,NYMEX
ERCOT North Zone MCPE 50 MW Peak Calendar Day Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,2T ,2T ,NYMEX
ERCOT North Zone MCPE 50 MW Peak Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,2P ,2P ,NYMEX
ERCOT Broker Houston Index Peak Calendar-Day (SNL Energy) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,VH ,VH ,NYMEX
ERCOT Broker North Index Peak Calendar-Day (SNL Energy) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,VF ,VF ,NYMEX
ERCOT Broker South Index Peak Calendar-Day (SNL Energy) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,VJ ,VJ ,NYMEX
ERCOT South Zone MCPE 5 MW Off-Peak Calendar-Day Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,M1 ,M1 ,NYMEX
ERCOT South Zone MCPE 5 MW Off-Peak Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,J1 ,J1 ,NYMEX
ERCOT South Zone MCPE 5 MW Peak Calendar-Day Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,K1 ,K1 ,NYMEX
ERCOT South Zone MCPE 5 MW Peak Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,I9 ,I9 ,NYMEX
ERCOT South Zone MCPE 50 MW Off-Peak Calendar-Day Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,3H ,3H ,NYMEX
ERCOT South Zone MCPE 50 MW Off-Peak Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,2Y ,2Y ,NYMEX
ERCOT South Zone MCPE 50 MW Peak Calendar Day Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,2U ,2U ,NYMEX
ERCOT South Zone MCPE 50 MW Peak Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,2Q ,2Q ,NYMEX
ERCOT West Zone MCPE 5 MW Off-Peak Calendar-Day Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,R4 ,R4 ,NYMEX
ERCOT West Zone MCPE 5 MW Off-Peak Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,O1 ,O1 ,NYMEX
ERCOT West Zone MCPE 5 MW Peak Calendar-Day Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,R1 ,R1 ,NYMEX
ERCOT West Zone MCPE 5 MW Peak Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,N1 ,N1 ,NYMEX
ERCOT West Zone MCPE 50 MW Off-Peak Calendar-Day Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,3J ,3J ,NYMEX
ERCOT West Zone MCPE 50 MW Off-Peak Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,3D ,3D ,NYMEX
ERCOT West Zone MCPE 50 MW Peak Calendar Day Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,2V ,2V ,NYMEX
ERCOT West Zone MCPE 50 MW Peak Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,2R ,2R ,NYMEX
Ethanol (Platts) T1 FOB Rdam Excluding Duty Swap Futures ,CME ClearPort ,  ,2M ,2M ,NYMEX
Ethanol (Platts) T2 FOB Rdam Including Duty Swap Futures ,CME ClearPort ,  ,Z1 ,Z1 ,NYMEX
EuroBob Gasoline 10 ppm (Platts) Barges FOB Rdam BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,7P ,7P ,NYMEX
European 1% Fuel Oil (Platts) Cargoes FOB NWE BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,KX ,KX ,NYMEX
European 1% Fuel Oil (Platts) Cargoes FOB NWE Calendar Swap Futures ,"CME ClearPort Clearing, New York Trading Floor ",  ,UF ,UF ,NYMEX
European 1% Fuel Oil NWE Crack Spread ,"CME ClearPort, Open Outcry (New York) ",  ,FI ,FI ,NYMEX
European 1% Fuel Oil (Platts) Barges FOB Rdam Calendar Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,UH ,UH ,NYMEX
European 1% Fuel Oil (Platts) Barges FOB Rdam BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,6L ,6L ,NYMEX
European 3.5% Fuel Oil (Platts) Cargoes FOB MED Calendar Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,UI ,UI ,NYMEX
European 3.5% Fuel Oil (Platts) Barges FOB Rdam Calendar Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,UV ,UV ,NYMEX
European 3.5% Fuel Oil (Platts) Barges FOB Rdam BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,KR ,KR ,NYMEX
European 3.5% Fuel Oil Rdam Crack Swap ,"CME ClearPort, Open Outcry (New York) ",  ,FO ,FO ,NYMEX
3.5% Fuel Oil Rdam vs. 3.5% FOB Med Spread Swap ,"CME ClearPort, Open Outcry (New York) ",  ,FK ,FK ,NYMEX
3.5% Fuel Oil (Platts) FOB MED Crack Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,FL ,FL ,NYMEX
European Gasoil (ICE) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,GX ,GX ,NYMEX
European Gasoil (ICE) Futures ,"CME ClearPort Clearing, CME Globex ",  ,7F ,7F ,NYMEX
European Diesel 10 ppm (Platts) Barges FOB Rdam vs Gasoil Futures Swap ,"CME ClearPort, Open Outcry (New York) ",  ,ET ,ET ,NYMEX
European Diesel 10 ppm (Platts) Barges FOB Rdam Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,GT ,GT ,NYMEX
European Gasoil Bullet Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,BG ,BG ,NYMEX
European Gasoil Calendar (1 month) Spread Options ,"CME ClearPort, Open Outcry (New York) ",  ,GXA ,GXA ,NYMEX
European Gasoil Calendar (2 month) Spread Options ,"CME ClearPort, Open Outcry (New York) ",  ,GXB ,GXB ,NYMEX
European Gasoil Calendar (3 month) Spread Options ,"CME ClearPort, Open Outcry (New York) ",  ,GXC ,GXC ,NYMEX
European Gasoil Calendar (6 month) Spread Options ,"CME ClearPort, Open Outcry (New York) ",  ,GXM ,GXM ,NYMEX
European Gasoil Calendar (12 month) Spread Options ,"CME ClearPort, Open Outcry (New York) ",  ,GXZ ,GXZ ,NYMEX
European Gasoil Crack Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,GZ ,GZ ,NYMEX
Jet Cargoes (Platts) CIF NWE vs. Gasoil Futures Swap ,"CME ClearPort, Open Outcry (New York) ",  ,JC ,JC ,NYMEX
European Jet Kerosene (Platts) Cargoes CIF NWE Average Price Option ,"CME ClearPort, Open Outcry (New York) ",  ,30,30,NYMEX
European Jet Kerosene (Platts) Cargoes CIF NWE Calendar Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,UJ ,UJ ,NYMEX
European Jet Kerosene (Platts) Barges FOB Rdam Calendar Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,UR ,UR ,NYMEX
Jet Barges (Platts) FOB Rdam vs. Gasoil Futures Swap ,"CME ClearPort, Open Outcry (New York) ",  ,JR ,JR ,NYMEX
European Naphtha (Platts) Calendar Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,UN ,UN ,NYMEX
European Naphtha (Platts) BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,KZ ,KZ ,NYMEX
European Naphtha (Platts) Crack Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,EN ,EN ,NYMEX
European Naphtha (Platts) Crack Spread BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,43,43,NYMEX
European Propane CIF ARA (Argus) BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,32,32,NYMEX
European Propane CIF ARA (Argus) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,PS ,PS ,NYMEX
European-Style Gasoil Option ,"CME ClearPort, Open Outcry (New York) ",  ,F8 ,F8 ,NYMEX
Singapore Fuel Oil 180 cst (Platts) Calendar Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,UA ,UA ,NYMEX
Singapore Fuel Oil 180 cst (Platts) BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,BS ,BS ,NYMEX
FAME 0 (Argus) Biodiesel FOB Rdam Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,2L ,2L ,NYMEX
FGT Zone 3 Basis Swap (Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,FP ,FP ,NYMEX
Florida Gas Zone 2 Basis Swap (Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,8A ,8A ,NYMEX
Florida Gas Zone 2 Natural Gas Index Swap (Platts Gas Daily/Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,C3 ,C3 ,NYMEX
Florida Gas Zone 2 Natural Gas Swing Swap (Platts Gas Daily) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,X5 ,X5 ,NYMEX
Florida Gas Zone 3 Natural Gas Index Swap (Platts Gas Daily/Platts IFERC) Futures ,"CME ClearPort, Open Outcry (New York) ",  ,Q9 ,Q9 ,NYMEX
"Florida Gas, Zone 3 Natural Gas Swing Swap (Platts Gas Daily) Futures ","CME ClearPort, Open Outcry (New York) ",  ,J8 ,J8 ,NYMEX
Freight Route TC1 (Platts) Swap Futures ,CME ClearPort ,  ,TG ,TG ,NYMEX
Freight Route TC1 (Platts) Forward ,CME ClearPort ,  ,FPA ,FPA ,NYMEX
Freight Route TC2 (Baltic) Forward ,CME ClearPort ,  ,FC2 ,FC2 ,NYMEX
Freight Route TC4 (Platts) Forward ,CME ClearPort ,  ,FC4 ,FC4 ,NYMEX
Freight Route TC5 (Platts) Forward ,CME ClearPort ,  ,FC5 ,FC5 ,NYMEX
Freight Route TC6 (Baltic) Forward ,CME ClearPort ,  ,FC6 ,FC6 ,NYMEX
Freight Route TD10 (Baltic) Forward ,CME ClearPort ,  ,FDD ,FDD ,NYMEX
Freight Route TD3 (Baltic) Forward ,CME ClearPort ,  ,FT3 ,FT3 ,NYMEX
Freight Route TD5 (Baltic) Forward ,CME ClearPort ,  ,FT5 ,FT5 ,NYMEX
Freight Route TD7 (Baltic) Forward ,CME ClearPort ,  ,FT7 ,FT7 ,NYMEX
Freight Route TD9 (Baltic) Forward ,CME ClearPort ,  ,FB9 ,FB9 ,NYMEX
Gasoil 0.1 (Platts) Barges FOB Rdam BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,B8 ,B8 ,NYMEX
Gasoil 0.1 (Platts) Barges FOB Rdam vs. ICE Gasoil Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,WQ ,WQ ,NYMEX
Gasoil 0.1 (Platts) Cargoes FOB NWE Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,WR ,WR ,NYMEX
Gasoil 0.1 (Platts) Cargoes FOB NWE vs. ICE Gasoil Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,WT ,WT ,NYMEX
Gasoil 0.1 (Platts) Barges FOB Rdam vs. ICE Gasoil BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,6V ,6V ,NYMEX
Gasoil 0.1 (Platts) CIF MED BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,X6 ,X6 ,NYMEX
Gasoil 0.1 (Platts) Cargoes CIF NWE vs. ICE Gasoil Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,TU ,TU ,NYMEX
Gasoil 0.1 (Platts) Cargoes CIF NWE Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,TW ,TW ,NYMEX
Gasoil 0.1 (Platts) Cargoes CIF NWE vs. ICE Gasoil BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,4V ,4V ,NYMEX
Gasoil 0.1 (Platts) Barges FOB Rdam Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,VL ,VL ,NYMEX
Gasoil 0.1% (Platts) Barges FOB Rdam Crack Spread (1000mt) Swap Futures ,CME ClearPort ,  ,GOB ,GOB ,NYMEX
Gasoil 0.1 (Platts) Cargoes CIF NWE BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,B7 ,B7 ,NYMEX
Gasoil 0.1 (Platts) Cargoes CIF MED Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,Z4 ,Z4 ,NYMEX
Gasoil 0.1 (Platts) CIF MED vs. ICE Gasoil Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,Z5 ,Z5 ,NYMEX
ULSD 10ppm (Platts) Cargoes CIF NWE vs. ICE Gasoil Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,TP ,TP ,NYMEX
ULSD 10ppm (Platts) Cargoes CIF NWE Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,TY ,TY ,NYMEX
Gasoil 0.1% (Platts) Cargoes CIF NWE Crack Spread (1000mt) Swap Futures ,CME ClearPort ,  ,GEB ,GEB ,NYMEX
Gasoil 0.1 (Platts) CIF MED vs. ICE Gasoil BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,8W ,8W ,NYMEX
ULSD 10ppm Cargoes CIF NWE vs. ICE Gasoil BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,3V ,3V ,NYMEX
Gasoil Average Price Option ,"CME Globex, CME ClearPort ",  ,F7 ,F7 ,NYMEX
Gasoil Crack Spread Average Price Option ,"CME ClearPort, Open Outcry (New York) ",  ,3U ,3U ,NYMEX
Gasoil (ICE) Crack Spread (1000mt) Swap Futures ,CME ClearPort ,  ,GOC ,GOC ,NYMEX
Gasoil (ICE) Mini Calendar Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,QA ,QA ,NYMEX
Gasoline Euro-bob Oxy (Argus) NWE Barges Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,7H ,7H ,NYMEX
Gasoline Euro-bob Oxy (Argus) NWE Barges Crack Spread BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,7I ,7I ,NYMEX
Gasoline Euro-bob Oxy (Argus) NWE Barges BALMO Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,7R ,7R ,NYMEX
Gasoline Euro-bob Oxy (Argus) NWE Barges Crack Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,7K ,7K ,NYMEX
Gulf Coast Unl 87 (Argus) Up-Down Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,UZ ,UZ ,NYMEX
Group Three ULSD (Platts) vs. Heating Oil Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,A6 ,A6 ,NYMEX
Group Three ULSD (Platts) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,A7 ,A7 ,NYMEX
Group Three Unleaded Gasoline (Platts) vs. RBOB Gasoline Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,A8 ,A8 ,NYMEX
Group Three Unleaded Gasoline (Platts) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,A9 ,A9 ,NYMEX
Gulf Coast 3.0% Fuel Oil (Platts) BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,VZ ,VZ ,NYMEX
Gulf Coast CBOB Gasoline A1 (Platts) Crack Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,CBC ,CBC ,NYMEX
Gulf Coast CBOB Gasoline A1 (Platts) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,CBO ,CBO ,NYMEX
Gulf Coast CBOB Gasoline A1 (Platts) vs. RBOB Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,CBA ,CBA ,NYMEX
Gulf Coast CBOB Gasoline A2 (Platts) Crack Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,GCG ,GCG ,NYMEX
Gulf Coast CBOB Gasoline A2 (Platts) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,CRG ,CRG ,NYMEX
Gulf Coast CBOB Gasoline A2 (Platts) vs. RBOB Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,CRB ,CRB ,NYMEX
Gulf Coast Unl 87 Gasoline M2 (Platts) Crack Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,GCC ,GCC ,NYMEX
Gulf Coast Unl 87 Gasoline M2 (Platts) Swap Futures Futures ,"CME ClearPort, Open Outcry (New York) ",  ,GCM ,GCM ,NYMEX
Gulf Coast Unl 87 Gasoline M2 (Platts) vs. RBOB Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,RVG ,RVG ,NYMEX
Gulf Coast Unl 87 (Platts) Crack Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,RU ,RU ,NYMEX
Gulf Coast Unl 87 (Argus) Calendar Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,AW ,AW ,NYMEX
Gulf Coast Unl 87 (Platts) Calendar Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,GS ,GS ,NYMEX
Gulf Coast Gasoline Futures ,"CME ClearPort, Open Outcry (New York) ",  ,LR ,LR ,NYMEX
Gulf Coast Unl 87 (Argus) Crack Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,CK ,CK ,NYMEX
Gulf Coast 87 Gasoline Crack Spread Calendar Swap Futures (Platts) ,"CME ClearPort, Open Outcry (New York) ",  ,RU ,RU ,NYMEX
Gulf Coast Unl 87 vs. Gulf Coast Heating Oil Spread (Platts) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,MD ,MD ,NYMEX
Gulf Coast No. 2 (Platts) Crack Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,RD ,RD ,NYMEX
Gulf Coast Heating Oil (Argus) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,4U ,4U ,NYMEX
Gulf Coast Heating Oil (Argus) vs. Heating Oil Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,7U ,7U ,NYMEX
Gulf Coast Heating Oil (OPIS) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,7O ,7O ,NYMEX
Gulf Coast Heating Oil (OPIS) vs. Heating Oil Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,7Y ,7Y ,NYMEX
Gulf Coast Heating Oil (Platts) Calendar Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,GP ,GP ,NYMEX
Gulf Coast Jet Fuel (Platts) Calendar Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,GE ,GE ,NYMEX
Gulf Coast Jet (Argus) Calendar Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,AF ,AF ,NYMEX
Gulf Coast Jet (OPIS) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,R9 ,R9 ,NYMEX
Gulf Coast Jet (OPIS) vs. Heating Oil Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,W7 ,W7 ,NYMEX
Jet Fuel Up-Down BALMO Calendar Swap Contract ,"CME ClearPort, Open Outcry (New York) ",  ,1M ,1M ,NYMEX
Gulf Coast Jet (Platts) Up-Down BALMO Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,AF ,AF ,NYMEX
Gulf Coast Jet (Platts) vs. Heating Oil Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,ME ,ME ,NYMEX
Gulf Coast No. 6 Fuel Oil 3.0% (Platts) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,MF ,MF ,NYMEX
Gulf Coast No. 6 Fuel Oil 3.0% (Platts) Average Price Option ,"CME ClearPort, Open Outcry (New York) ",  ,FG ,FG ,NYMEX
Gulf Coast No. 6 Fuel Oil (Platts) Crack Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,MG ,MG ,NYMEX
Gulf Coast Sour Crude Oil Futures ,"CME Globex, CME ClearPort, Open Outcry (New York) ",  ,MB ,MB ,NYMEX
Gulf Coast ULSD (OPIS) Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,5P ,5P ,NYMEX
Gulf Coast ULSD (OPIS) vs. Heating Oil Spread Swap Futures ,"CME ClearPort, Open Outcry (New York) ",  ,5Q ,5Q ,NYMEX
