PRODUCT_ID;PRODUCT_TYPE;PRODUCT_NAME;PRODUCT_GROUP;CURRENCY;PRODUCT_ISIN;UNDERLYING_ISIN;SHARE_ISIN;CONTRACT_SIZE;CONTRACT_MONTHS;MIN_PRICE_CHANGE;COUNTRY_CODE;GROUP_ID;CASH_MARKET_ID;SECTOR;STOXX® Europe 600;EURO STOXX 50®;STOXX Europe 50®;DAX®;SMI®;MDAX®;SDAX®;TecDAX®;SMIM®;STOXX® 200 Large;STOXX® 200 Mid;STOXX® 200 Small;DJ Global Titans 50 (SM);AEX Index®;CAC 40®;SP 500;RDXxt® USD - RDX Extended;FTSE® 100;ATX
B2SN;FSTK;Danone Dividend Futures;Single Stock Dividend Futures ;EUR;DE000A1EZJF5;XC000A1DKDC1;FR0000120644;1000;;.001;FR;FR21;XPAR;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B2T;FSTK;BT Group Dividend Futures;Single Stock Dividend Futures ;GBP;DE000A1KD0S9;XC000A1KD052;GB0030913577;1000;;.01;GB;GB21;XLON;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B3BV;FSTK;Banco Bilbao Vizcaya Argentaria Dividend Futures;Single Stock Dividend Futures ;EUR;DE000A1HT0B2;XC000A1CRK89;ES0113211835;1000;;.001;ES;ES21;XMAD;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B4DF;FSTK;Banco Bradesco;Single Stock Futures;USD;DE000A1DKFF7;US0594603039;;100;36;.0001;BR;BR01;XNYS;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B5AF;FSTK;Bauer;Single Stock Futures;EUR;DE000A0X71B1;DE0005168108;;100;36;.0001;DE;DE01;XETR;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
BACF;FSTK;Bank of America;Single Stock Futures;USD;DE000A0SYD50;US0605051046;;100;36;.0001;US;US01;XNYS;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
BAEB;OSTK;Julius Bär Basket;Equity Options;CHF;DE000A1A40G1;DE000A1A40G1;;50;60;.01;CH;CH11;XVTX;Financial Services;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BAEH;FSTK;Julius Bär Gruppe;Single Stock Futures;CHF;DE000A1A40V0;CH0102484968;;100;36;.0001;CH;CH01;XVTX;Financial Services;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BAEN;OSTK;Julius Bär Gruppe;Equity Options;CHF;CH0102484968;CH0102484968;;100;60;.01;CH;CH11;XVTX;Financial Services;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BAFF;FSTK;BAE Systems;Single Stock Futures;GBP;DE000A0SYAX2;GB0002634946;;1000;36;.0001;GB;GB01;XLON;Industrial Goods & Services;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
BAIF;FSTK;International Consolidated Airlines Group;Single Stock Futures;GBP;DE000A0SYC93;GB0001290575;;1000;36;.0001;GB;GB01;XLON;Travel & Leisure;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
BAKG;FSTK;Bankinter;Single Stock Futures;EUR;DE000A0QZCF6;ES0113679I37;;100;36;.0001;ES;ES01;XMAD;Banks;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
BALF;FSTK;Bâloise Holding;Single Stock Futures;CHF;DE000A0G9GM1;CH0012410517;;100;36;.0001;CH;CH01;XVTX;Insurance;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
BALN;OSTK;Bâloise Holding;Equity Options;CHF;CH0012410517;CH0012410517;;100;60;.01;CH;CH11;XVTX;Insurance;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
BARG;FSTK;Barclays;Single Stock Futures;GBP;DE000A0XW0W4;GB0031348658;;1000;36;.0001;GB;GB01;XLON;Banks;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
BAS;OSTK;BASF;Equity Options;EUR;DE000BASF111;DE000BASF111;;100;60;.01;DE;DE11;XETR;Chemicals;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BASE;OSTK;BASF [european];Equity Options;EUR;DE000A1HUFJ9;DE000BASF111;;100;60;.01;DE;DE14;XETR;Chemicals;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BASG;FSTK;BASF;Single Stock Futures;EUR;DE000A0V8NN8;DE000BASF111;;100;36;.0001;DE;DE01;XETR;Chemicals;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BATF;FSTK;Banco Espirito Santo;Single Stock Futures;EUR;DE000A0JY6E5;PTBES0AM0007;;100;36;.0001;PT;PT01;XLIS;Banks;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
BAXF;FSTK;Baxter International;Single Stock Futures;USD;DE000A0YK892;US0718131099;;100;36;.0001;US;US01;XNYS;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
BAY;OSTK;Bayer;Equity Options;EUR;DE000BAY0017;DE000BAY0017;;100;60;.01;DE;DE11;XETR;Chemicals;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BAYE;OSTK;Bayer [european];Equity Options;EUR;DE000A1HUFK7;DE000BAY0017;;100;60;.01;DE;DE14;XETR;Chemicals;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BAYF;FSTK;Bayer;Single Stock Futures;EUR;DE000A0C38Q2;DE000BAY0017;;100;36;.0001;DE;DE01;XETR;Chemicals;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BBL;OSTK;Barclays;Equity Options;GBP;GB0031348658;GB0031348658;;1000;24;.25;GB;GB11;XLON;Banks;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
BBVD;OSTK;Banco Bilbao Vizcaya Argentaria;Equity Options;EUR;ES0113211835;ES0113211835;;100;60;.01;ES;ES11;XMAD;Banks;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BBVG;FSTK;Banco Bilbao Vizcaya Argentaria;Single Stock Futures;EUR;DE000A1HT0C0;ES0113211835;;100;36;.0001;ES;ES01;XMAD;Banks;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BBVP;FSTK;Banco Bilbao Vizcaya Argentaria [physical];Single Stock Futures;EUR;DE000A1CRAC2;ES0113211835;;100;36;.0001;ES;ES02;XMAD;Banks;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BCA;OSTK;Banca Carige;Equity Options;EUR;IT0003211601;IT0003211601;;500;24;.0005;IT;IT12;XMIL;Banks;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
BCAG;FSTK;Banca Carige;Single Stock Futures;EUR;DE000A1KDZH1;IT0003211601;;1000;36;.0001;IT;IT01;XMIL;Banks;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
BCEF;FSTK;BCE;Single Stock Futures;USD;DE000A1HTZ12;CA05534B7604;;100;36;.0001;CA;CA01;XNYS;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BCOF;FSTK;Boeing;Single Stock Futures;USD;DE000A0SYD68;US0970231058;;100;36;.0001;US;US01;XNYS;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
BCPG;FSTK;Banco Comercial Português;Single Stock Futures;EUR;DE000A1KDZQ2;PTBCP0AM0007;;100;36;.0001;PT;PT01;XLIS;Banks;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BCVF;FSTK;Banque Cantonale Vaudoise;Single Stock Futures;CHF;DE000A0XW4P0;CH0015251710;;100;36;.0001;CH;CH01;XSWX;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BDEF;FSTK;Barratt Developments;Single Stock Futures;GBP;DE000A0SYCG3;GB0000811801;;1000;36;.0001;GB;GB01;XLON;Personal & Household Goods;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
