GBX	201009	DTB	2009-12-08	2010-09-08	2010-09-03
GBX	201012	DTB	2010-03-08	2010-12-08	2010-12-06
GBX	201103	DTB	2010-06-08	2011-03-08	2011-03-04
GBX	201106	DTB	2010-09-08	2011-06-08	2011-06-07
GBX	201109	DTB	2010-12-08	2011-09-08	2011-09-06
GBX	201112	DTB	2011-03-08	2011-12-08	2011-12-06
GBX	201203	DTB	2011-06-08	2012-03-08	2012-03-06
GBX	201206	DTB	2011-09-08	2012-06-07	2012-06-05
UB	201003	ECBOT	2009-06-23	2010-03-22	2010-03-03
UB	201006	ECBOT	2009-09-22	2010-06-21	2010-05-27
UB	201009	ECBOT	2009-12-22	2010-09-21	2010-08-30
UB	201012	ECBOT	2010-03-23	2010-12-21	2010-11-30
UB	201103	ECBOT	2010-06-22	2011-03-22	2011-03-03
UB	201106	ECBOT	2010-09-22	2011-06-21	2011-05-27
UB	201109	ECBOT	2010-12-22	2011-09-21	2011-08-30
UB	201112	ECBOT	2011-03-23	2011-12-20	2011-11-29
UB	201203	ECBOT	2011-06-22	2012-03-21	2012-02-28
UB	201206	ECBOT	2011-09-22	2012-06-20	2012-05-30
EM	201001	GLOBEX	2009-01-16	2010-01-18	2010-01-06
EM	201005	GLOBEX	2009-05-18	2010-05-17	2010-04-30
EM	201006	GLOBEX	2009-06-15	2010-06-14	2010-05-18
EM	201007	GLOBEX	2009-07-13	2010-07-19	2010-07-14
EM	201009	GLOBEX	2009-09-14	2010-09-13	2010-09-07
EM	201010	GLOBEX	2009-10-19	2010-10-18	2010-09-29
EM	201101	GLOBEX	2010-01-18	2011-01-17	2011-01-13
EM	201107	GLOBEX	2010-07-19	2011-07-18	2011-07-13
GE	200909	GLOBEX	1999-09-13	2009-09-14	2009-09-11
GE	200910	GLOBEX	2009-04-13	2009-10-19	2009-10-07
GE	200912	GLOBEX	1999-12-13	2009-12-14	2009-12-11
GE	201001	GLOBEX	2009-07-13	2010-01-18	2009-12-22
GE	201002	GLOBEX	2009-08-17	2010-02-15	2010-01-27
GE	201003	GLOBEX	2000-03-13	2010-03-15	2010-03-12
GE	201004	GLOBEX	2009-10-19	2010-04-19	2010-04-05
GE	201005	GLOBEX	2009-11-16	2010-05-17	2010-04-29
GE	201006	GLOBEX	2000-06-19	2010-06-14	2010-06-11
GE	201007	GLOBEX	2010-01-18	2010-07-19	2010-07-13
GE	201008	GLOBEX	2010-02-15	2010-08-16	2010-07-20
GE	201009	GLOBEX	2000-09-18	2010-09-13	2010-09-10
GE	201010	GLOBEX	2010-04-19	2010-10-18	2010-10-01
GE	201011	GLOBEX	2010-05-17	2010-11-15	2010-10-25
GE	201012	GLOBEX	2000-12-18	2010-12-13	2010-12-10
GE	201102	GLOBEX	2010-08-16	2011-02-14	2011-02-08
GE	201103	GLOBEX	2001-03-19	2011-03-14	2011-03-11
GE	201104	GLOBEX	2010-10-18	2011-04-18	2011-03-22
GE	201105	GLOBEX	2010-11-15	2011-05-16	2011-05-04
GE	201106	GLOBEX	2001-06-18	2011-06-13	2011-06-09
GE	201108	GLOBEX	2011-02-14	2011-08-15	2011-08-02
GE	201109	GLOBEX	2001-09-17	2011-09-19	2011-09-16
GE	201110	GLOBEX	2011-04-18	2011-10-17	2011-10-13
GE	201111	GLOBEX	2011-05-16	2011-11-14	2011-10-18
GE	201112	GLOBEX	2001-12-17	2011-12-19	2011-12-16
GE	201201	GLOBEX	2011-07-18	2012-01-16	2012-01-06
GE	201202	GLOBEX	2011-08-15	2012-02-13	2012-01-27
GE	201203	GLOBEX	2002-03-18	2012-03-19	2012-03-16
GE	201204	GLOBEX	2011-10-17	2012-04-16	2012-04-11
GE	201205	GLOBEX	2011-11-14	2012-05-14	2012-04-19
GE	201206	GLOBEX	2002-06-17	2012-06-18	2012-06-15
GE	201207	GLOBEX	2012-01-17	2012-07-16	2012-07-02
ZT	200909	ECBOT	2008-07-01	2009-09-30	2009-09-09
ZT	200912	ECBOT	2008-10-01	2009-12-31	2009-11-27
ZT	201003	ECBOT	2009-01-02	2010-03-31	2010-02-25
ZT	201006	ECBOT	2009-04-01	2010-06-30	2010-05-27
ZT	201009	ECBOT	2009-07-01	2010-09-30	2010-08-30
ZT	201012	ECBOT	2009-10-01	2010-12-31	2010-11-30
ZT	201103	ECBOT	2010-01-04	2011-03-31	2011-03-01
ZT	201106	ECBOT	2010-04-01	2011-06-30	2011-05-27
ZT	201109	ECBOT	2010-07-01	2011-09-30	2011-08-30
ZT	201112	ECBOT	2010-10-01	2011-12-30	2011-11-29
ZT	201203	ECBOT	2011-01-03	2012-03-30	2012-02-28
ZT	201206	ECBOT	2011-04-01	2012-06-29	2012-05-30
ZF	200909	ECBOT	2008-07-01	2009-09-30	2009-09-09
ZF	200912	ECBOT	2008-10-01	2009-12-31	2009-11-27
ZF	201003	ECBOT	2009-01-02	2010-03-31	2010-02-25
ZF	201006	ECBOT	2009-04-01	2010-06-30	2010-05-27
ZF	201009	ECBOT	2009-07-01	2010-09-30	2010-08-30
ZF	201012	ECBOT	2009-10-01	2010-12-31	2010-11-29
ZF	201103	ECBOT	2010-01-04	2011-03-31	2011-03-01
ZF	201106	ECBOT	2010-04-01	2011-06-30	2011-05-27
ZF	201109	ECBOT	2010-07-01	2011-09-30	2011-08-30
ZF	201112	ECBOT	2010-10-01	2011-12-30	2011-11-29
ZF	201203	ECBOT	2011-01-03	2012-03-30	2012-02-28
ZF	201206	ECBOT	2011-04-01	2012-06-29	2012-05-30
ZN	200909	ECBOT	2008-06-20	2009-09-21	2009-09-03
ZN	200912	ECBOT	2008-09-22	2009-12-21	2009-11-27
ZN	201003	ECBOT	2008-12-22	2010-03-22	2010-02-25
ZN	201006	ECBOT	2009-03-23	2010-06-21	2010-05-27
ZN	201009	ECBOT	2009-06-22	2010-09-21	2010-08-30
ZN	201012	ECBOT	2009-09-22	2010-12-21	2010-11-30
ZN	201103	ECBOT	2009-12-22	2011-03-22	2011-03-02
ZN	201106	ECBOT	2010-03-23	2011-06-21	2011-05-27
ZN	201109	ECBOT	2010-06-22	2011-09-21	2011-08-30
ZN	201112	ECBOT	2010-09-22	2011-12-20	2011-11-29
ZN	201203	ECBOT	2010-12-22	2012-03-21	2012-02-28
ZN	201206	ECBOT	2011-03-23	2012-06-20	2012-05-30
ZB	200909	ECBOT	2008-12-22	2009-09-21	2009-09-04
ZB	200912	ECBOT	2009-03-23	2009-12-21	2009-11-27
ZB	201003	ECBOT	2009-06-22	2010-03-22	2010-02-25
ZB	201006	ECBOT	2009-09-22	2010-06-21	2010-05-27
ZB	201009	ECBOT	2009-12-22	2010-09-21	2010-08-30
ZB	201012	ECBOT	2010-03-23	2010-12-21	2010-11-29
ZB	201103	ECBOT	2010-06-22	2011-03-22	2011-03-01
ZB	201106	ECBOT	2010-09-22	2011-06-21	2011-05-27
ZB	201109	ECBOT	2010-12-22	2011-09-21	2011-08-30
ZB	201112	ECBOT	2011-03-23	2011-12-20	2011-11-29
ZB	201203	ECBOT	2011-06-22	2012-03-21	2012-02-28
ZB	201206	ECBOT	2011-09-22	2012-06-20	2012-05-30
ZQ	200909	ECBOT	2007-10-01	2009-09-30	2009-09-09
ZQ	200910	ECBOT	2007-11-01	2009-10-30	2009-10-22
ZQ	200911	ECBOT	2007-12-03	2009-11-30	2009-11-05
ZQ	200912	ECBOT	2008-01-02	2009-12-31	2009-12-02
ZQ	201001	ECBOT	2008-02-01	2010-01-29	2010-01-05
ZQ	201002	ECBOT	2008-03-03	2010-02-26	2010-02-05
ZQ	201003	ECBOT	2008-04-01	2010-03-31	2010-03-10
ZQ	201004	ECBOT	2008-05-01	2010-04-30	2010-04-05
ZQ	201005	ECBOT	2008-06-02	2010-05-28	2010-05-05
ZQ	201006	ECBOT	2008-07-01	2010-06-30	2010-06-02
ZQ	201007	ECBOT	2008-08-01	2010-07-30	2010-07-01
ZQ	201008	ECBOT	2008-09-01	2010-08-31	2010-08-02
ZQ	201009	ECBOT	2008-10-01	2010-09-30	2010-09-07
ZQ	201010	ECBOT	2008-11-03	2010-10-29	2010-10-04
ZQ	201011	ECBOT	2008-12-01	2010-11-30	2010-11-18
ZQ	201012	ECBOT	2009-01-02	2010-12-31	2010-12-07
ZQ	201101	ECBOT	2009-02-02	2011-01-31	2011-01-04
ZQ	201102	ECBOT	2009-03-02	2011-02-28	2011-02-16
ZQ	201103	ECBOT	2009-04-01	2011-03-31	2011-03-03
ZQ	201104	ECBOT	2009-05-01	2011-04-29	2011-04-11
ZQ	201105	ECBOT	2009-06-01	2011-05-31	2011-05-03
ZQ	201106	ECBOT	2009-07-01	2011-06-30	2011-06-03
ZQ	201107	ECBOT	2009-08-03	2011-07-29	2011-07-05
ZQ	201108	ECBOT	2009-09-01	2011-08-31	2011-08-02
ZQ	201109	ECBOT	2009-10-01	2011-09-30	2011-09-07
ZQ	201110	ECBOT	2009-11-02	2011-10-31	2011-10-04
ZQ	201111	ECBOT	2009-12-01	2011-11-30	2011-11-08
ZQ	201112	ECBOT	2010-01-04	2011-12-30	2011-12-12
ZQ	201201	ECBOT	2010-02-01	2012-01-31	2012-01-18
ZQ	201204	ECBOT	2010-05-03	2012-04-30	2012-04-10
ZQ	201206	ECBOT	2010-07-01	2012-06-29	2012-06-05
SR	200909	ECBOT	2008-09-16	2009-09-14	2009-09-04
SR	201006	ECBOT	2009-06-16	2010-06-14	2010-06-11
SR	201009	ECBOT	2009-09-15	2010-09-13	2010-09-09
SR	201012	ECBOT	2009-12-15	2010-12-13	2010-12-09
SR	201106	ECBOT	2010-06-15	2011-06-13	2011-06-10
SR	201112	ECBOT	2010-12-14	2011-12-19	2011-12-09
SR	201206	ECBOT	2011-06-14	2012-06-18	2012-06-14
SA	200909	ECBOT	2008-09-16	2009-09-14	2009-09-09
SA	200912	ECBOT	2008-12-16	2009-12-14	2009-12-10
SA	201003	ECBOT	2009-03-17	2010-03-15	2010-03-08
SA	201006	ECBOT	2009-06-16	2010-06-14	2010-06-10
SA	201009	ECBOT	2009-09-15	2010-09-13	2010-09-07
SA	201203	ECBOT	2011-03-15	2012-03-19	2012-03-15
SA	201206	ECBOT	2011-06-14	2012-06-18	2012-06-14
AC	201104	ECBOT	2008-12-15	2011-04-05	2011-04-01
AC	201202	ECBOT	2009-02-05	2012-02-03	2012-01-30
AC	201204	ECBOT	2009-04-06	2012-04-04	2012-03-29
AC	201206	ECBOT	2009-06-04	2012-06-05	2012-05-18
AC	201207	ECBOT	2009-07-07	2012-07-05	2012-06-18
ES	200909	GLOBEX	2008-06-20	2009-09-18	2009-09-09
ES	200912	GLOBEX	2008-09-19	2009-12-18	2009-12-10
ES	201003	GLOBEX	2008-12-19	2010-03-19	2010-03-11
ES	201006	GLOBEX	2009-03-20	2010-06-18	2010-06-10
ES	201009	GLOBEX	2009-06-19	2010-09-17	2010-09-09
ES	201012	GLOBEX	2009-09-18	2010-12-17	2010-12-09
ES	201103	GLOBEX	2009-12-18	2011-03-18	2011-03-10
ES	201106	GLOBEX	2010-03-19	2011-06-17	2011-06-09
ES	201109	GLOBEX	2010-06-18	2011-09-16	2011-09-08
ES	201112	GLOBEX	2010-09-17	2011-12-16	2011-12-08
ES	201203	GLOBEX	2010-12-17	2012-03-16	2012-03-08
ES	201206	GLOBEX	2011-03-18	2012-06-15	2012-06-07
EMD	200909	GLOBEX	2008-06-20	2009-09-18	2009-09-10
EMD	200912	GLOBEX	2008-09-19	2009-12-18	2009-12-09
EMD	201003	GLOBEX	2008-12-19	2010-03-19	2010-03-10
EMD	201006	GLOBEX	2009-03-20	2010-06-18	2010-06-10
EMD	201009	GLOBEX	2009-06-19	2010-09-17	2010-09-09
EMD	201012	GLOBEX	2009-09-18	2010-12-17	2010-12-08
EMD	201103	GLOBEX	2009-12-18	2011-03-18	2011-03-10
EMD	201106	GLOBEX	2010-03-19	2011-06-17	2011-06-09
EMD	201109	GLOBEX	2010-06-18	2011-09-16	2011-09-08
EMD	201112	GLOBEX	2010-09-17	2011-12-16	2011-12-08
EMD	201203	GLOBEX	2010-12-17	2012-03-16	2012-03-08
EMD	201206	GLOBEX	2011-03-18	2012-06-15	2012-06-07
NQ	200909	GLOBEX	2008-06-20	2009-09-18	2009-09-09
NQ	200912	GLOBEX	2008-09-19	2009-12-18	2009-12-09
NQ	201003	GLOBEX	2008-12-19	2010-03-19	2010-03-10
NQ	201006	GLOBEX	2009-03-20	2010-06-18	2010-06-09
NQ	201009	GLOBEX	2009-06-19	2010-09-17	2010-09-09
NQ	201012	GLOBEX	2009-09-18	2010-12-17	2010-12-09
NQ	201103	GLOBEX	2009-12-18	2011-03-18	2011-03-10
NQ	201106	GLOBEX	2010-03-19	2011-06-17	2011-06-09
NQ	201109	GLOBEX	2010-06-18	2011-09-16	2011-09-08
NQ	201112	GLOBEX	2010-09-17	2011-12-16	2011-12-08
NQ	201203	GLOBEX	2010-12-17	2012-03-16	2012-03-08
NQ	201206	GLOBEX	2011-03-18	2012-06-15	2012-06-07
YM	200909	ECBOT	2008-09-19	2009-09-18	2009-09-09
YM	200912	ECBOT	2008-12-19	2009-12-18	2009-12-10
YM	201003	ECBOT	2009-03-20	2010-03-19	2010-03-11
YM	201006	ECBOT	2009-06-19	2010-06-18	2010-06-10
YM	201009	ECBOT	2009-09-18	2010-09-17	2010-09-09
YM	201012	ECBOT	2009-12-18	2010-12-17	2010-12-09
YM	201103	ECBOT	2010-03-19	2011-03-18	2011-03-10
YM	201106	ECBOT	2010-06-18	2011-06-17	2011-06-09
YM	201109	ECBOT	2010-09-17	2011-09-16	2011-09-08
YM	201112	ECBOT	2010-12-17	2011-12-16	2011-12-08
YM	201203	ECBOT	2011-03-18	2012-03-16	2012-03-08
YM	201206	ECBOT	2011-06-17	2012-06-15	2012-06-07
TF	200909	NYBOT	2008-09-22	2009-09-18	2009-09-09
TF	200912	NYBOT	2008-12-22	2009-12-18	2009-12-10
TF	201003	NYBOT	2009-03-23	2010-03-19	2010-03-11
TF	201006	NYBOT	2009-06-22	2010-06-18	2010-06-10
TF	201009	NYBOT	2009-09-21	2010-09-17	2010-09-09
TF	201012	NYBOT	2009-12-21	2010-12-17	2010-12-09
TF	201103	NYBOT	2010-03-22	2011-03-18	2011-03-10
TF	201106	NYBOT	2010-06-21	2011-06-17	2011-06-09
TF	201109	NYBOT	2010-09-20	2011-09-16	2011-09-08
TF	201112	NYBOT	2010-12-20	2011-12-16	2011-12-08
TF	201203	NYBOT	2011-03-21	2012-03-16	2012-03-08
TF	201206	NYBOT	2011-06-20	2012-06-15	2012-06-07
NIY	200909	GLOBEX	2006-09-08	2009-09-10	2009-09-09
NIY	200912	GLOBEX	2006-12-08	2009-12-10	2009-12-09
NIY	201003	GLOBEX	2007-03-09	2010-03-11	2010-03-10
NIY	201006	GLOBEX	2007-06-08	2010-06-10	2010-06-09
NIY	201009	GLOBEX	2007-09-14	2010-09-09	2010-09-08
NIY	201012	GLOBEX	2007-12-14	2010-12-09	2010-12-08
NIY	201103	GLOBEX	2008-03-14	2011-03-10	2011-03-09
NIY	201106	GLOBEX	2008-06-13	2011-06-09	2011-06-08
NIY	201109	GLOBEX	2008-09-12	2011-09-08	2011-09-07
NIY	201112	GLOBEX	2008-12-12	2011-12-08	2011-12-07
NIY	201203	GLOBEX	2009-03-13	2012-03-08	2012-03-07
NIY	201206	GLOBEX	2009-06-12	2012-06-07	2012-06-06
NKD	200909	GLOBEX	2008-09-12	2009-09-10	2009-09-09
NKD	200912	GLOBEX	2008-12-12	2009-12-10	2009-12-09
NKD	201003	GLOBEX	2009-03-13	2010-03-11	2010-03-10
NKD	201006	GLOBEX	2009-06-12	2010-06-10	2010-06-09
NKD	201009	GLOBEX	2009-09-11	2010-09-09	2010-09-08
NKD	201012	GLOBEX	2009-12-11	2010-12-09	2010-12-08
NKD	201103	GLOBEX	2010-03-12	2011-03-10	2011-03-09
NKD	201106	GLOBEX	2010-06-11	2011-06-09	2011-06-08
